植物中文名,中文学名,拉丁名,科名,生活型,观赏特性,花期,果期,其它用途,国内分布,国外分布,其它有用信息
枇杷,枇杷,Eriobotrya japonica (Thunb.) Lindl.,蔷薇科,乔木,观花/观叶/观果,10-12月,翌年5-6月,果树栽培；果实可食；叶可药用（止咳化痰）,四川、湖北、湖南、江西、安徽、江苏、浙江、福建、广东、广西、云南、贵州,日本,生于山坡、沟谷、路旁及村边
红花洋紫荆,红花羊蹄甲,Bauhinia blakeana Dunn,豆科,乔木,观花,11月至翌年3月,无果（不育）,园林绿化、行道树、庭园观赏,广东、广西、海南、福建、台湾、云南有栽培,印度,生于热带及亚热带地区
洋紫荆,白花宫粉羊蹄甲,Bauhinia variegata var. candida (Roxb.) Voigt,豆科,乔木,观花,3-5月,7-9月,园林绿化、行道树,广东、广西、海南、云南有栽培,印度、越南,生于热带及亚热带地区
宫粉洋紫荆,宫粉羊蹄甲,Bauhinia variegata L.,豆科,乔木,观花,3-5月,7-9月,园林绿化、行道树,广东、广西、云南、福建、台湾有栽培,印度、中南半岛,生于热带及亚热带地区
木麻黄,木麻黄,Casuarina equisetifolia L.,木麻黄科,乔木,观株型,4-5月,7-10月,园林绿化、海岸防风固沙、行道树；木材坚硬耐腐可作建筑用材,广东、广西、海南、福建、台湾,澳大利亚、东南亚、太平洋诸岛,生于海岸沙地
构树,构,Broussonetia papyrifera (L.) L'Hér. ex Vent.,桑科,乔木,观叶/观果,4-5月,6-7月,园林绿化；树皮可造纸；叶可饲养鹿；果实可食可药用,全国大部分地区,朝鲜、日本、越南、印度、马来西亚,生于山坡、沟谷、路旁及村边
垂叶榕,垂叶榕,Ficus benjamina L.,桑科,乔木,观叶/观株型,5-6月,6-9月,园林绿化、行道树、庭荫树、盆栽观赏,广东、广西、海南、云南、台湾有栽培,印度、马来西亚、菲律宾,生于热带及亚热带疏林中
橡胶榕,印度榕,Ficus elastica Roxb. ex Hornem.,桑科,乔木,观叶,5-7月,7-11月,园林绿化、庭园观赏、室内盆栽,广东、广西、海南、云南、台湾有栽培,印度、缅甸、马来西亚、印度尼西亚,生于热带雨林中
桑,桑,Morus alba L.,桑科,乔木/灌木,观叶/观果,4-5月,5-6月,叶养蚕；果实可食可酿酒；根皮可药用；木材可作家具,全国各地广泛栽培,朝鲜、日本、蒙古、中亚各国、俄罗斯,生于丘陵、山坡、村旁及田间
柠檬,柠檬,Citrus limon (L.) Burm. f.,芸香科,乔木/灌木,观花/观果,4-5月,9-11月,果树栽培；果实可食可加工；果皮可提取芳香油,广东、广西、云南、四川有栽培,印度、缅甸,生于热带及亚热带地区
柚子,柚,Citrus maxima (Burm.) Merr.,芸香科,乔木,观花/观果,4-5月,9-12月,果树栽培；果实为著名水果；花可提取芳香油,广东、广西、福建、台湾、浙江、江西、湖南、四川、云南有栽培,东南亚各国,生于低海拔地区
黄皮,黄皮,Clausena lansium (Lour.) Skeels,芸香科,乔木/灌木,观花/观果,4-5月,7-8月,果树栽培；果实可食；根、叶可药用,广东、广西、海南、福建、台湾、云南,越南、印度、马来西亚,生于低丘陵地或平地的疏林中
九里香,九里香,Murraya exotica L.,芸香科,乔木/灌木,观花/观叶,4-8月,9-12月,园林绿化、绿篱；花芳香可提取芳香油；全株可药用,广东、广西、海南、福建、台湾、云南、贵州、湖南,印度、斯里兰卡、缅甸、泰国、越南、马来西亚,生于低丘陵地、路旁及疏林中
簕欓花椒,簕欓花椒,Zanthoxylum avicennae (Lam.) DC.,芸香科,乔木/灌木,观叶,3-4月,7-9月,园林绿化；茎皮可药用,广东、广西、海南、云南、贵州、四川、福建,越南,生于山坡疏林中或路旁灌丛中
米仔兰,米仔兰,Aglaia odorata Lour.,楝科,乔木/灌木,观花,5-12月,7月至翌年3月,园林绿化、庭园观赏、盆栽；花芳香可提取香精、可窨茶,广东、广西、海南、云南、福建、台湾、四川,东南亚各国,生于热带及亚热带密林中
苦楝,楝,Melia azedarach L.,楝科,乔木,观花/观叶,4-5月,10-12月,园林绿化、行道树；木材可作家具；果实和根皮可药用（驱虫）,全国各地广泛栽培,朝鲜、日本、印度、东南亚,生于路旁、田边、村庄附近
桂花,木樨,Osmanthus fragrans (Thunb.) Lour.,木犀科,乔木/灌木,观花,9-10月,翌年3月,园林绿化、庭园观赏；花可制糖、酿酒、窨茶；花可药用,西南、中南、华东各地广泛栽培,日本、印度、尼泊尔、柬埔寨,生于山坡及路旁
猫尾木,猫尾木,Markhamia stipulata (Wall.) Seem. ex K. Schum.,紫葳科,乔木,观花/观果,5-9月,翌年3-5月,园林绿化；木材可作建筑用材,广东、广西、海南、云南,越南、缅甸、泰国、马来西亚,生于山坡、沟谷密林中
海南菜豆树,海南菜豆树,Radermachera hainanensis Merr.,紫葳科,乔木,观花/观叶,5-9月,翌年3-5月,园林绿化、庭园观赏、室内盆栽,海南、广东、广西、云南,越南,生于山谷密林中或路旁
红刺露兜,扇叶露兜树,Pandanus utilis Borg.,露兜树科,乔木,观叶/观株型,6-7月,7-10月,园林绿化、庭园观赏,广东、海南、福建、台湾有栽培,马达加斯加,生于热带沿海地区
粉丹竹,蓉城竹,Phyllostachys bissetii McClure,禾本科,乔木,观叶/观株型,/,笋期4月中、下旬,园林绿化、庭园观赏、作柄材或篾用，笋食用。,浙江、四川,/,生于年平均气温14-20℃地区、土壤深厚肥沃的地方
中华无忧树,中国无忧花,Saraca dives Pierre,豆科,乔木,观花,3-5月,5-8月,园林绿化、庭园观赏；树皮和花可药用,广东、广西、云南,越南、缅甸,生于热带密林中或沟谷湿润处
山苍子,山鸡椒,Litsea cubeba (Lour.) Pers.,樟科,乔木/灌木,观花/观果,2-3月,7-8月,园林绿化；果实可提取山苍子油（香料工业原料）；全株可药用,广东、广西、云南、贵州、四川、湖南、湖北、江西、福建、台湾,日本、朝鲜、越南、印度尼西亚,生于山坡、路旁、沟谷的疏林或灌丛中
豺皮樟,豺皮樟,Litsea rotundifolia Hemsl. var. oblongifolia (Nees) Allen,樟科,乔木/灌木,观叶,5-7月,8-11月,园林绿化；根和叶可药用,广东、广西、海南、云南、福建、湖南、江西,越南,生于山坡疏林或灌丛中
海桐花,海桐,Pittosporum tobira (Thunb.) Ait.,海桐科,乔木/灌木,观花/观叶/观果,3-5月,9-10月,园林绿化、绿篱；根、皮可药用,江苏、浙江、福建、台湾、广东、广西、海南,日本、朝鲜,生于海岸、山坡及路旁
木荷,木荷,Schima superba Gardn. et Champ.,山茶科,乔木,观花/观叶,6-8月,10-11月,园林绿化；木材可作建筑用材；防火树种,广东、广西、福建、江西、浙江、湖南、云南、贵州、台湾,越南,生于海拔100-1500米的山坡常绿阔叶林中
黄牛木,黄牛木,Cratoxylum cochinchinense (Lour.) Bl.,金丝桃科,乔木/灌木,观花/观叶,5-7月,8-10月,园林绿化；嫩叶可食；木材坚硬可作建筑用材；树皮可药用,广东、广西、海南、云南、福建、湖南,越南、泰国、柬埔寨、马来西亚、印度尼西亚,生于低山丘陵地的疏林或灌丛中
山杜英,山杜英,Elaeocarpus sylvestris (Lour.) Poir.,杜英科,乔木,观花/观叶,6-7月,10-11月,园林绿化、行道树；木材可作建筑用材,广东、广西、福建、台湾、云南、贵州、四川、江西,日本、朝鲜、越南,生于山坡、沟谷的常绿阔叶林中
白楸,白楸,Mallotus paniculatus (Lam.) Muell. Arg.,大戟科,乔木/灌木,观叶,3-5月,7-9月,园林绿化；先锋树种,广东、广西、海南、云南、贵州、福建、台湾,印度、越南、马来西亚、菲律宾,生于山坡疏林或灌丛中
海红豆,海红豆,Adenanthera pavonina L.,豆科,乔木,观花/观果,5-6月,7-10月,园林绿化；种子鲜红色可作饰品；木材可作建筑用材,广东、广西、海南、云南、福建、台湾,印度、缅甸、越南、马来西亚,生于山坡、沟谷的疏林中
杨梅,杨梅,Myrica rubra (Lour.) S. et Zucc.,杨梅科,乔木,观花/观果,3-4月,6-7月,果树栽培；果实可食可加工；树皮可提取栲胶和染料,浙江、江苏、福建、广东、广西、湖南、云南、贵州、四川,日本、朝鲜,生于山坡或谷地的杂木林中
山黄麻,山黄麻,Trema tomentosa (Roxb.) Hara,大麻科,乔木/灌木,观叶,5-6月,7-9月,园林绿化；先锋树种；树皮纤维可制绳索,广东、广西、海南、云南、贵州、福建、台湾,印度、越南、泰国、马来西亚、澳大利亚,生于山坡、路旁的疏林或灌丛中
水同木,水同木,Ficus fistulosa Reinw. ex Bl.,桑科,乔木,观叶/观果,5-7月,7-10月,园林绿化；果实可食,广东、广西、海南、云南、贵州、福建,越南、泰国、马来西亚、印度尼西亚,生于沟谷密林中或溪边
变叶榕,变叶榕,Ficus variolosa Lindl. ex Benth.,桑科,乔木/灌木,观叶/观果,5-6月,8-10月,园林绿化,广东、广西、海南、云南、贵州、湖南、福建、江西、四川,越南,生于山谷密林中或灌丛中
三叉苦,三桠苦,Melicope pteleifolia (Champ. ex Benth.) Hartley,芸香科,乔木/灌木,观叶,4-6月,8-11月,园林绿化；全株可药用，清热解毒,广东、广西、海南、云南、贵州、福建,越南、老挝、马来西亚,生于低海拔丘陵、山坡的疏林或灌丛中
鸦胆子,鸦胆子,Brucea javanica (L.) Merr.,苦木科,乔木/灌木,观叶/观果,4-5月,7-10月,药用植物，果实可入药（抗疟疾、治痢疾）,广东、广西、海南、云南、贵州、福建、台湾,印度、缅甸、泰国、越南、马来西亚,生于山坡、路旁、灌丛或疏林中
黄槐决明,黄槐,Senna surattensis (Burm. f.) H. S. Irwin et Barneby,豆科,乔木/灌木,观花,几乎全年,几乎全年,园林绿化、行道树、庭园观赏,广东、广西、海南、云南、福建有栽培,印度、斯里兰卡、东南亚,生于热带及亚热带地区
二乔玉兰,二乔玉兰,Yulania × soulangeana (Soul.-Bod.) D. L. Fu,木兰科,乔木/灌木,观花,3-4月,8-9月,园林绿化、庭园观赏,华东、华中各地广泛栽培,法国（杂交种原产地）,生于温暖湿润的环境中
木芙蓉,木芙蓉,Hibiscus mutabilis L.,锦葵科,乔木/灌木,观花,8-10月,10-11月,园林绿化、庭园观赏；花可药用；树皮纤维可制绳索,长江流域以南各地广泛栽培,日本,生于山坡灌丛中或路旁
菩提榕,菩提树,Ficus religiosa L.,桑科,乔木,观叶/观株型,3-4月,5-6月,园林绿化、庭荫树；宗教文化意义重大,广东、广西、云南、海南有栽培,印度、斯里兰卡、缅甸、泰国、越南,生于热带平原或低丘陵地
千层金,溪畔白千层,Melaleuca bracteata F.Muell.,桃金娘科,乔木/灌木,观花/观叶,6-9月,10-12月,园林绿化、行道树,广东、广西、福建有栽培,澳大利亚,生于溪边及湿润地
小叶榄仁,小叶榄仁,Terminalia neotaliala Capuron,使君子科,乔木,观叶/观株型,3-6月,7-10月,园林绿化、行道树,广东、广西、海南、福建、台湾、云南有栽培,马达加斯加,生于热带地区
